train_loss,val_loss,train_acc,val_acc
0.70215493,0.6975656,50.375,49.285714285714285
0.69875634,0.6942081,50.607142857142854,50.285714285714285
0.69589406,0.691371,51.19642857142857,51.785714285714285
0.69354075,0.6890174,52.142857142857146,53.357142857142854
0.6916547,0.68710023,53.017857142857146,54.642857142857146
0.690181,0.68555486,52.714285714285715,56.857142857142854
0.689049,0.68430674,53.732142857142854,58.642857142857146
0.6881784,0.68327993,53.982142857142854,58.714285714285715
0.68748885,0.68240476,54.375,58.714285714285715
0.6869077,0.68162215,54.785714285714285,58.42857142857143
0.686375,0.6808853,55.214285714285715,58.214285714285715
0.6858451,0.6801609,54.92857142857143,58.142857142857146
0.6852866,0.6794273,55.0,58.5
0.68468106,0.6786738,55.25,58.07142857142857
0.68402123,0.67789733,55.30357142857143,58.42857142857143
0.6833076,0.67710096,55.535714285714285,58.642857142857146
0.6825471,0.67629117,55.785714285714285,59.214285714285715
0.6817503,0.67547655,56.267857142857146,59.5
0.68092936,0.6746657,56.55357142857143,59.785714285714285
0.6800969,0.6738665,56.75,60.0
0.67926425,0.67308474,56.910714285714285,60.285714285714285
0.67844087,0.67232406,57.375,60.785714285714285
0.67763376,0.67158544,57.875,61.07142857142857
0.6768471,0.6708675,58.25,61.0
0.67608243,0.6701666,58.642857142857146,60.714285714285715
0.67533875,0.6694777,58.589285714285715,60.857142857142854
0.6746132,0.66879445,58.714285714285715,61.285714285714285
0.6739016,0.66811067,59.267857142857146,61.714285714285715
0.67319936,0.66742057,59.267857142857146,61.92857142857143
0.67250156,0.66671914,59.589285714285715,62.142857142857146
0.67180413,0.66600305,59.875,62.5
0.6711038,0.66527057,59.94642857142857,62.57142857142857
0.67039865,0.6645214,60.214285714285715,62.5
0.669688,0.6637569,60.375,62.42857142857143
0.66897225,0.6629795,60.660714285714285,62.5
0.6682528,0.6621925,60.785714285714285,62.857142857142854
0.6675315,0.6613997,61.035714285714285,62.857142857142854
0.66681045,0.66060483,61.214285714285715,63.142857142857146
